time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
4/7/2001,11,-19,0.006,-0.02,40900,0.056,165195,0.056,2001,4,1
4/8/2001,11,-19,0.0069,-0.02,43050,0.0643,165195,0.0643,2001,4,1
4/9/2001,11,-19,0.008,-0.018,42200,0.0665,165195,0.0665,2001,4,1
4/10/2001,10,-19,0.0057,-0.018,42150,0.059,165195,0.059,2001,4,1
4/5/2001,18,-32,0.0074,-0.058,29500,0.1043,165209,0.1043,2001,4,1
4/6/2001,18,-32,0.0072,-0.058,28900,0.1048,165209,0.1048,2001,4,1
4/7/2001,18,-32,0.0072,-0.056,33850,0.1011,165209,0.1011,2001,4,1
4/8/2001,18,-32,0.0081,-0.054,37850,0.1018,165209,0.1018,2001,4,1
4/9/2001,18,-32,0.0083,-0.054,37750,0.1007,165209,0.1007,2001,4,1
4/10/2001,18,-32,0.0079,-0.054,33500,0.0973,165209,0.0973,2001,4,1
4/6/2001,14,-40,0.0146,-0.134,35950,0.1298,165280,0.1298,2001,4,1
4/7/2001,14,-40,0.0204,-0.132,34500,0.1485,165280,0.1485,2001,4,1
4/8/2001,14,-40,0.0292,-0.13,38600,0.1759,165280,0.1759,2001,4,1
4/9/2001,14,-40,0.0332,-0.134,39500,0.1828,165280,0.1828,2001,4,1
4/10/2001,14,-40,0.0278,-0.142,34250,0.1638,165280,0.1638,2001,4,1
4/11/2001,14,-40,0.0182,-0.158,30800,0.1317,165280,0.1317,2001,4,1
4/7/2001,14,-27,0.0091,-0.024,38400,0.063,165320,0.063,2001,4,1
4/8/2001,14,-27,0.0123,-0.024,43900,0.0745,165320,0.0745,2001,4,1
4/9/2001,15,-27,0.0115,-0.026,42900,0.0813,165320,0.0813,2001,4,1
4/10/2001,15,-27,0.0107,-0.026,47300,0.0861,165320,0.0861,2001,4,1
4/11/2001,15,-27,0.0135,-0.03,41500,0.0928,165320,0.0928,2001,4,1
4/12/2001,15,-27,0.0087,-0.034,39650,0.0908,165320,0.0908,2001,4,1
4/7/2001,6,-33,0.0126,-0.076,41500,0.1061,165332,0.1061,2001,4,1
4/8/2001,6,-33,0.0075,-0.078,38650,0.0764,165332,0.0764,2001,4,1
4/9/2001,5,-33,0.0119,-0.08,36050,0.0899,165332,0.0899,2001,4,1
4/12/2001,14,-36,0.0277,-0.47,30250,0.1957,165635,0.1957,2001,4,1
4/13/2001,14,-36,0.0483,-0.46,42300,0.2438,165635,0.2438,2001,4,1
4/16/2001,7,-30,0.0165,-0.01,44500,0.082,165810,0.0791,2001,4,1.0366624525916561
4/17/2001,7,-30,0.0234,-0.006,53600,0.086,165810,0.0773,2001,4,1.11254851228978
4/18/2001,7,-30,0.0207,-0.01,46350,0.0846,165810,0.0809,2001,4,1.045735475896168
4/16/2001,16,-30,0.0062,-0.044,31600,0.0776,165835,0.0776,2001,4,1
4/17/2001,16,-30,0.0061,-0.044,30450,0.0787,165835,0.0787,2001,4,1
4/18/2001,16,-30,0.0086,-0.042,34550,0.0799,165835,0.0799,2001,4,1
4/17/2001,9,-32,0.0191,-0.062,37250,0.0902,165891,0.0866,2001,4,1.0415704387990763
4/18/2001,9,-32,0.0201,-0.064,38700,0.0964,165891,0.0913,2001,4,1.0558598028477546
4/19/2001,9,-32,0.0185,-0.066,36950,0.1004,165891,0.0991,2001,4,1.0131180625630678
4/20/2001,9,-32,0.0166,-0.068,34350,0.099,165891,0.099,2001,4,1
4/21/2001,9,-32,0.0129,-0.07,40700,0.0977,165891,0.0977,2001,4,1
4/22/2001,9,-32,0.0144,-0.07,42300,0.0999,165891,0.0987,2001,4,1.0121580547112463
4/23/2001,9,-32,0.0108,-0.072,38550,0.0962,165891,0.0962,2001,4,1
4/18/2001,2,-34,0.0152,-0.022,32500,0.1,165926,0.1,2001,4,1
4/19/2001,2,-34,0.0154,-0.02,34000,0.0998,165926,0.0998,2001,4,1
4/20/2001,2,-34,0.0145,-0.02,33800,0.1007,165926,0.1007,2001,4,1
4/19/2001,9,-25,0.0068,-0.022,33900,0.0778,165985,0.0778,2001,4,1
4/20/2001,9,-25,0.0057,-0.024,34100,0.0807,165985,0.0807,2001,4,1
4/21/2001,9,-25,0.0053,-0.0265,35850,0.0772,165985,0,2001,4,
4/22/2001,9,-25,0.005,-0.029,37600,0.0737,165985,0,2001,4,
4/23/2001,9,-25,0.0046,-0.0315,39350,0.0702,165985,0,2001,4,
4/24/2001,9,-25,0.0043,-0.034,41100,0.0668,165985,0.0668,2001,4,1
4/25/2001,9,-25,0.0062,-0.036,39600,0.0734,165985,0.0734,2001,4,1
4/26/2001,9,-25,0.0066,-0.036,56100,0.0711,165985,0.0711,2001,4,1
4/27/2001,9,-25,0.0058,-0.038,48000,0.0724,165985,0.0724,2001,4,1
